no,Bidang,Skill,Company
1,Data Intern (Hybrid),"SQL, Python, R, Tableau, Power BI",LUXEHOUZE
2,Data Analyst,"Python, SQL",cmlabs
3,Data Product Manager Intern - Business Intelligence ,"SQL, database, Google Sheets, Slides",Shopee
4,Data Scientist,Natural Language Processing (NLP),cmlabs
5,Data Scientist Intern,"PyTorch, Deep Learning, Computer Vision",GoTo Group
6,Supply Analyst Intern,"SQL, Python, R, Tableau, Power BI",RedDoorz
7,Data Engineer Intern,"SQL, Databases",PT Lion Super Indo
8,Data Analyst Intern,"SQL, Python, Matlab, R, SAS",JALA
9,Data Analyst Intern (Revenue Operations),"SQL, Python or R,DBT, Python, Github, Google Looker Studio",wati
10,Data Engineering Training & Internship,"Python, Java, or SQL, MySQL, PostgreSQL",Refonte Learning
11,AI & Data Analytics Training and Intership,"Python, R, and SQL,tensorFlow and PyTorch.",Refonte Infini - Infiniment Grand
12,Data Engineer Intern,SQL,PT Hypefast Karya Nusantara
13,Data Analyst Intern,"SQL, Python, R, Tableau, Power BI",PT SURYA SEMESTA INTERNUSA TBK
14,Data Analytics Intern (Growth),SQL,Funding Societies | Modalku Group
15,Data Analytics Intern (Risk),SQL,Funding Societies | Modalku Group
16,Data Analyst,"Data Analytics, Python, MySQL, tableau",Rakamin
17,Data Engineer Internship,"Python, Hadoop, SQL",Emos Global Digital
18,Data Analyst Intern,"Microsoft Excel, SQL, Python, Google Sheets, Power BI",Red Communication Indonesia
19,Internship Data Analys,"Data Collection, Data Analytics, Data Engineering",PT. Shafco Multi Trading
20,Data Analyst Intern,"Power BI, Tableau, Microsoft Office, Analytical Skills, Microsoft Excel",PT Surya Semesta Internusa Tbk
21,Data Analyst Intern,"Excel, Spreedsheet, Looker, power BI, another data analytical tools",Pennyu Group
22,Paid Internship Data Analyst,"SQL, Microsoft Excel, Google Sheet, SQL Server, Power BI, Google Data Studio, Tableau",CV Tamma Robah Indonesia
23,Data Analyst,"Data Visualization, Operations Analyst, SQL",UENA
24,Data Analis,"SQL, Pivot Table, Microsoft Excel",Orang Tua Group
25,Data Analyst Staff,"Statistical Data Analysis, Administration, Microsoft Excel, SQL",WOM Finance Mega Glodok Kemayoran
26,Admin Data Analyst,"Microsoft Office, Database, power BI, Tableau, Google Sheet",PT Wells Gemilang Sentosa
27,Data Analis,"Big Data Analysis, Statistical Data Analysis, Data Analytics, Ms Office, SQL",PT.WIJAYA INOVASI GEMILANG
28,Data Analis,"Relational Databases, Microsoft Excel, Microsoft Office",PT Hasanayu Putri Jelita
29,Data Analyst,"Pattern And Trend Idetification, SQL, Python, Logic And Analysis, Database Design And Management",cmlabs.co
30,Data Analyst,"Metabase, SQL, Python, Data Analytics",Jack
31,Data Analyst,"Microsoft Excel, Pivot Table, Data Analytics, Vlook-up",PT Maju Express Indonesia
32,Data Analis,"SQL, Machine Learning, Statistical Data Analysis, Microsoft Excel, Attention to Detail, Data Collection",CV. AXELERASI MAXIMA DIGITAL
33,Data Engineer Internship,"Python, Hadoop, SQL",Emos Global Digital
34,Data Intern,"Data Engineering, Data Collection, Data Entry, HRIS Database Management",PT Dragon Phoenix Ecommerce
35,Data Analis,"Statistical Data Analysis, Data Analytics, Big Data Analysis",PT Alba Unggul Metal
36,Research and Development Intern,"Quantitative Research, Marketing Analytics, Data Analytics, Data Cleaning, Microsoft Excel, Pivot Table, Data Management, Numerical Analysis, Mathematics, Data Collection",Resvara Indonesia
37,Research and Development (Internship),"Microsoft Excel, Data Analytics, Visualisasi Data, Power BI, Numerical Analysis",The Bridge Academy Indonesia
38,Research & Development Fashion Retail,"Riset, Google Trends, Data Analytics",PT Lamonte Mode Internasional
39,Market Research & Data Analyst,"Data Analytics, Time Management, Organizational Skills, Market Research, Sales and Marketing, English Language, Analytical Skills",PT. Motor Sights International
40,IT Internship,"Communication Skills, Adaptability, System Analysis, Frontend Development, Web Development, Teamwork, Back-End Web Development",PT Grha Dana Bersama
41,IT Infrastructure Engineer Internship,"IT Infrastructure Management, Windows Server Administration, Cybersecurity, Networking",PT Computrade Technology International
42,IT Intern - BANDUNG,"Relational Databases, Strong Communication Skills, Information Technology, Google Workspace",Solar Chapter
43,Database,"PostgreSQL, Time Management, Information Technology",PT Evolusi Teknologi Indonesia (Evoteks)
44,Database Administrator,"SQL, MSSQL, Backup Database, Analytical Skills, Recovery Database, Time Management",PT. Cahaya Media Technology
45,Database Administrator,"Database Admin, Aoag, Microsoft SQL Server",amIT Global Solutions Sdn Bhd
46,Database Administrator,"SQL, MongoDB, PostgreSQL, python",Alfagift - Global Loyalty Indonesia
47,Database Administrator,"NoSQL, MariaDB, MongoDB, Elasticache, Kdb+, SQL",Bitwyre
48,Database Administrator,"PostgreSQL, Microsoft SQL Server, DB2",Sanskara Sanjaya Abadi
49,Software Engineer(DBA- Database Administrator),"Aoag, Oracle Database, Microsoft SQL Server",amIT Global Solutions Sdn Bhd
50,Database Engineer,"PostgreSQL, Mysql Clusters, clickhouse, Skema Data, MySQL, MariaDB, Optimasi Kerja, Table Partitioning, Oracle Database",PT Infokes Indonesia (Bandung)
51,Database Engineer,"SQL, PostgreSQL, Data Engineering",PT Neural Technologies Indonesia (Official)
52,Data Engineer,"Redis, SQL, PostgreSQL, Kafka, Programming Languages, Python, Cassandra, JavaScript, HTTP",Cad-it Iot Centre
53,Data Engineer,"Python, Pyspark, Java, Nifi, Hive, Airflow, Hadoop",Pt Dua Empat Tujuh
54,Data Engineer,"Etl, Data Cleansing, Grafana, Data Processing, Cloudera",PT Graha Karya Informasi
55,Data Engineer/ Data Visualization Developer,"SQL, Teamwork, Microsoft Ssis, Oracle Database, Business Management, Time Management, Etl ",CV Dea Group
56,Data Engineer,"Data Marts, clickhouse, Etl Processes, Data Engineering",Pt Badr Interactive
57,Data Engineer,"Statistical Data Analysis, Etl, SQL, Tableau, data warehouse, Visualization",PT Nextgen Inovasi Indonesia
58,Data Engineer,"Management Reporting, Python, SQL, ETL",SIMIAN Group
59,IT Network & Database Engginer,"Cloud Computing, IT Security, IT Management",PT GLOBAL INDO ASETS
60,Database Administrator (Jakarta Selatan),"SQL RDBMS, PostgreeSql, IT Security, IT Management, Programming Languages, Workbench/Navicat",PT. SETYA KULINER MANDIRI
61,Database Systems Engineer (Middle - Senior Level),"Power BI, Python, Data Migration, PostgreSQL, Relational Databases, Data,, Engineering, Statistical Data Analysis, Microsoft SQL Server",Meda
62,Sistem Analis Untuk ERP,"System Design, Accounting, Logistics Management, Postman Software, ERP, Software, GIT, JavaScript, MySQL, Object-Oriented Programming (OOP), PostgreSQL, System Analysis, Trello, Artificial Intelligence, Google Workspace,, Software Documentation, PHP",Pilarmedia Indonesia
63,Data Scientist,"Data Analytics, Data Collection, Statistical Data Analysis",Maknadata
64,Growth Data Support Intern,"Data analysis, SQL, Excel/Spreedsheet",Vidio